index,attn_prune,attn_prune_rate,dataset,model,ppl
0,none,0.0,ptb,gpt2,35.860984802246094
1,none,0.0,ptb,gpt2-medium,27.175378799438477
2,none,0.0,ptb,gpt2-large,23.14100456237793
3,none,0.0,ptb,gpt2-xl,21.101930618286133
4,none,0.0,wikitext2,gpt2,29.939393997192383
5,none,0.0,wikitext2,gpt2-medium,21.705137252807617
6,none,0.0,wikitext2,gpt2-large,19.435293197631836
7,none,0.0,wikitext2,gpt2-xl,17.39887809753418
8,random,0.1,ptb,gpt2,49.75419235229492
9,random,0.1,ptb,gpt2-medium,35.39468765258789
10,random,0.1,ptb,gpt2-large,24.445068359375
11,random,0.1,ptb,gpt2-xl,22.048227310180664
12,random,0.1,wikitext2,gpt2,45.318603515625
13,random,0.1,wikitext2,gpt2-medium,25.736040115356445
14,random,0.1,wikitext2,gpt2-large,20.878488540649414
15,random,0.1,wikitext2,gpt2-xl,18.135570526123047
16,random,0.2,ptb,gpt2,70.31539154052734
17,random,0.2,ptb,gpt2-medium,43.34494400024414
18,random,0.2,ptb,gpt2-large,28.179014205932617
19,random,0.2,ptb,gpt2-xl,23.569469451904297
20,random,0.2,wikitext2,gpt2,67.28575897216797
21,random,0.2,wikitext2,gpt2-medium,42.296485900878906
22,random,0.2,wikitext2,gpt2-large,22.480342864990234
23,random,0.2,wikitext2,gpt2-xl,18.832616806030273
24,random,0.3,ptb,gpt2,131.54867553710938
25,random,0.3,ptb,gpt2-medium,86.41368865966797
26,random,0.3,ptb,gpt2-large,31.91448974609375
27,random,0.3,ptb,gpt2-xl,26.48892593383789
28,random,0.3,wikitext2,gpt2,118.6819076538086
29,random,0.3,wikitext2,gpt2-medium,81.58167266845703
30,random,0.3,wikitext2,gpt2-large,27.43124008178711
31,random,0.3,wikitext2,gpt2-xl,20.649959564208984
32,norm,0.1,ptb,gpt2,248.64389038085938
33,norm,0.1,ptb,gpt2-medium,466.7218017578125
34,norm,0.1,ptb,gpt2-large,59.78529357910156
35,norm,0.1,ptb,gpt2-xl,37.795677185058594
36,norm,0.1,wikitext2,gpt2,217.68540954589844
37,norm,0.1,wikitext2,gpt2-medium,540.2481079101562
38,norm,0.1,wikitext2,gpt2-large,50.62250900268555
39,norm,0.1,wikitext2,gpt2-xl,29.835920333862305
40,norm,0.2,ptb,gpt2,459.1285400390625
41,norm,0.2,ptb,gpt2-medium,685.5866088867188
42,norm,0.2,ptb,gpt2-large,101.98939514160156
43,norm,0.2,ptb,gpt2-xl,56.20247268676758
44,norm,0.2,wikitext2,gpt2,494.0797119140625
45,norm,0.2,wikitext2,gpt2-medium,911.0794067382812
46,norm,0.2,wikitext2,gpt2-large,93.2916259765625
47,norm,0.2,wikitext2,gpt2-xl,44.18412780761719
48,norm,0.3,ptb,gpt2,687.5210571289062
49,norm,0.3,ptb,gpt2-medium,1053.7918701171875
50,norm,0.3,ptb,gpt2-large,152.40707397460938
51,norm,0.3,ptb,gpt2-xl,91.55130767822266
52,norm,0.3,wikitext2,gpt2,858.359130859375
53,norm,0.3,wikitext2,gpt2-medium,1399.6580810546875
54,norm,0.3,wikitext2,gpt2-large,154.6083984375
55,norm,0.3,wikitext2,gpt2-xl,70.27835083007812
56,projective,0.1,ptb,gpt2,38.501426696777344
57,projective,0.1,ptb,gpt2-medium,29.43251609802246
58,projective,0.1,ptb,gpt2-large,23.922096252441406
59,projective,0.1,ptb,gpt2-xl,21.906949996948242
60,projective,0.1,wikitext2,gpt2,31.78689193725586
61,projective,0.1,wikitext2,gpt2-medium,22.752391815185547
