,pruned,acc1,acc5,loss
0,0,0.74,0.9056,32.739280104637146
1,32,0.7406,0.9041,31.199645519256592
2,64,0.7395,0.9026,29.585543870925903
3,96,0.7378,0.9024,27.95612061023712
4,128,0.7381,0.9009,26.458488941192627
5,160,0.7374,0.898,24.434213519096375
6,192,0.7368,0.8955,23.126315712928772
7,224,0.735,0.8907,23.96696126461029
8,256,0.7315,0.8872,27.939768433570862
9,288,0.7313,0.8812,35.655064821243286
10,320,0.729,0.873,46.84154748916626
11,352,0.7277,0.8659,58.77201867103577
12,384,0.715,0.8465,69.85762095451355
13,416,0.7057,0.8408,79.46619772911072
14,448,0.5716,0.7589,86.20043849945068
15,480,0.1584,0.4591,90.49363327026367
