,pruned,acc1,acc5,loss
0,0,0.9394,0.9968,6.8042271733284
1,32,0.9397,0.9963,6.5785980224609375
2,64,0.9396,0.9958,6.3050441443920135
3,96,0.9399,0.9959,5.983596578240395
4,128,0.9397,0.9952,5.714165106415749
5,160,0.9394,0.9953,5.423118606209755
6,192,0.9395,0.9954,5.155219152569771
7,224,0.9392,0.9949,4.939121797680855
8,256,0.9396,0.9932,4.80768845975399
9,288,0.9397,0.9899,5.453093737363815
10,320,0.9388,0.9825,7.8613603711128235
11,352,0.938,0.9777,12.955951035022736
12,384,0.932,0.9742,20.65456473827362
13,416,0.9278,0.9745,29.22018587589264
14,448,0.6419,0.9682,37.381449818611145
15,480,0.173,0.9061,43.0702064037323
