,pruned,acc1,acc5,loss
0,0,0.7337,0.91502,104.41925939917564
1,256,0.73254,0.91502,103.8483479321003
2,512,0.72782,0.91256,112.27637606859207
3,768,0.72346,0.91052,124.29171606898308
4,1024,0.71862,0.90684,141.7283033132553
5,1280,0.71238,0.9025,164.9924460053444
6,1536,0.70492,0.89748,198.34407949447632
7,1792,0.6926,0.89016,239.3757894039154
8,2048,0.68268,0.88264,290.15927731990814
9,2304,0.66874,0.8729,352.5440969467163
10,2560,0.64738,0.859,417.69851517677307
11,2816,0.61786,0.83536,479.9557213783264
12,3072,0.55794,0.78814,536.1864161491394
13,3328,0.46852,0.70384,585.9002618789673
14,3584,0.30452,0.5227,629.6485857963562
15,3840,0.09836,0.22512,662.0526480674744
