,pruned,acc1,acc5,loss
0,0,0.7337,0.91502,104.41925939917564
1,256,0.6572,0.87996,136.75334337353706
2,512,0.63034,0.864,153.19039377570152
3,768,0.62756,0.86378,156.0203938782215
4,1024,0.62682,0.86224,160.13511967658997
5,1280,0.62792,0.86274,163.8607876598835
6,1536,0.62038,0.85766,174.86538007855415
7,1792,0.61646,0.85536,184.26451388001442
8,2048,0.61418,0.8536,193.6652935743332
9,2304,0.6034,0.84676,209.38732409477234
10,2560,0.59622,0.83876,226.1843477487564
11,2816,0.58402,0.82968,243.6677879691124
12,3072,0.56884,0.8181,261.0068946480751
13,3328,0.52646,0.78868,291.37197828292847
14,3584,0.4183,0.69704,369.4009042978287
15,3840,0.18324,0.41546,509.937429189682
