dataset,model,ratio,method,best_accuracy
modelnet40,pointnet,3.0,obdc,0.8851
modelnet40,pointnet,3.0,fpgm,0.887
modelnet40,pointnet,3.0,random,0.884
modelnet40,pointnet,3.0,group_sl,0.8926
modelnet40,pointnet,3.0,group_norm,0.8886
modelnet40,pointnet,3.0,slim,0.8934
modelnet40,pointnet,3.0,proj_sl,0.8963
modelnet40,pointnet,3.0,lamp,0.8849
modelnet40,pointnet,3.0,proj,0.889
modelnet40,pointnet,3.0,l2,0.8886
modelnet40,pointnet,2.0,obdc,0.8912
modelnet40,pointnet,2.0,fpgm,0.8878
modelnet40,pointnet,2.0,random,0.8517
modelnet40,pointnet,2.0,group_sl,0.8938
modelnet40,pointnet,2.0,group_norm,0.8878
modelnet40,pointnet,2.0,slim,0.8926
modelnet40,pointnet,2.0,proj_sl,0.8966
modelnet40,pointnet,2.0,lamp,0.8906
modelnet40,pointnet,2.0,proj,0.8902
modelnet40,pointnet,2.0,l2,0.8902
cifar100,vgg19,3.0,obdc,0.7284
cifar100,vgg19,3.0,fpgm,0.7181
cifar100,vgg19,3.0,random,0.6558
cifar100,vgg19,3.0,group_sl,0.7352
cifar100,vgg19,3.0,group_norm,0.7237
cifar100,vgg19,3.0,slim,0.735
cifar100,vgg19,3.0,proj_sl,0.7387
cifar100,vgg19,3.0,lamp,0.7308
cifar100,vgg19,3.0,proj,0.7234
cifar100,vgg19,3.0,l2,0.7227
cifar100,vgg19,2.0,obdc,0.7403
cifar100,vgg19,2.0,fpgm,0.7357
cifar100,vgg19,2.0,random,0.7049
cifar100,vgg19,2.0,group_sl,0.7366
cifar100,vgg19,2.0,group_norm,0.7326
cifar100,vgg19,2.0,slim,0.738
cifar100,vgg19,2.0,proj_sl,0.7396
cifar100,vgg19,2.0,lamp,0.7414
cifar100,vgg19,2.0,proj,0.7339
cifar100,vgg19,2.0,l2,0.7318
cifar100,mobilenetv2,3.0,obdc,0.6848
cifar100,mobilenetv2,3.0,fpgm,0.6848
cifar100,mobilenetv2,3.0,random,0.6042
cifar100,mobilenetv2,3.0,group_sl,0.6129
cifar100,mobilenetv2,3.0,group_norm,0.6849
cifar100,mobilenetv2,3.0,slim,0.6865
cifar100,mobilenetv2,3.0,proj_sl,0.6911
cifar100,mobilenetv2,3.0,lamp,0.6862
cifar100,mobilenetv2,3.0,proj,0.6526
cifar100,mobilenetv2,3.0,l2,0.6823
cifar100,mobilenetv2,2.0,obdc,0.6792
cifar100,mobilenetv2,2.0,fpgm,0.6856
cifar100,mobilenetv2,2.0,random,0.7068
cifar100,mobilenetv2,2.0,group_sl,0.6873
cifar100,mobilenetv2,2.0,group_norm,0.6847
cifar100,mobilenetv2,2.0,slim,0.6892
cifar100,mobilenetv2,2.0,proj_sl,0.6895
cifar100,mobilenetv2,2.0,lamp,0.6824
cifar100,mobilenetv2,2.0,proj,0.6847
cifar100,mobilenetv2,2.0,l2,0.6843
cifar100,resnet56,3.0,obdc,0.6369
cifar100,resnet56,3.0,fpgm,0.6919
