dataset,model,scope,ratio,method,epoch,total_epoch,accuracy,validation_loss
modelnet40,pointnet,global,3.0,obdc,0,100,0.8248,0.5877
modelnet40,pointnet,global,3.0,obdc,1,100,0.7871,0.6816
modelnet40,pointnet,global,3.0,obdc,2,100,0.8138,0.6033
modelnet40,pointnet,global,3.0,obdc,3,100,0.8288,0.5572
modelnet40,pointnet,global,3.0,obdc,4,100,0.8085,0.6161
modelnet40,pointnet,global,3.0,obdc,5,100,0.8470,0.5341
modelnet40,pointnet,global,3.0,obdc,6,100,0.8130,0.5878
modelnet40,pointnet,global,3.0,obdc,7,100,0.8418,0.5333
modelnet40,pointnet,global,3.0,obdc,8,100,0.8316,0.5341
modelnet40,pointnet,global,3.0,obdc,9,100,0.8264,0.5705
modelnet40,pointnet,global,3.0,obdc,10,100,0.8102,0.5984
modelnet40,pointnet,global,3.0,obdc,11,100,0.8154,0.6255
modelnet40,pointnet,global,3.0,obdc,12,100,0.8069,0.6222
modelnet40,pointnet,global,3.0,obdc,13,100,0.8033,0.6194
modelnet40,pointnet,global,3.0,obdc,14,100,0.8410,0.5405
modelnet40,pointnet,global,3.0,obdc,15,100,0.8426,0.5354
modelnet40,pointnet,global,3.0,obdc,16,100,0.8462,0.4932
modelnet40,pointnet,global,3.0,obdc,17,100,0.8312,0.5567
modelnet40,pointnet,global,3.0,obdc,18,100,0.8183,0.5899
modelnet40,pointnet,global,3.0,obdc,19,100,0.8410,0.5419
modelnet40,pointnet,global,3.0,obdc,20,100,0.8333,0.5329
modelnet40,pointnet,global,3.0,obdc,21,100,0.8373,0.5297
modelnet40,pointnet,global,3.0,obdc,22,100,0.8106,0.6047
modelnet40,pointnet,global,3.0,obdc,23,100,0.8442,0.5161
modelnet40,pointnet,global,3.0,obdc,24,100,0.8171,0.5522
modelnet40,pointnet,global,3.0,obdc,25,100,0.8345,0.5688
modelnet40,pointnet,global,3.0,obdc,26,100,0.8235,0.5663
modelnet40,pointnet,global,3.0,obdc,27,100,0.8438,0.5012
modelnet40,pointnet,global,3.0,obdc,28,100,0.8454,0.5083
modelnet40,pointnet,global,3.0,obdc,29,100,0.8142,0.6142
modelnet40,pointnet,global,3.0,obdc,30,100,0.8248,0.6172
modelnet40,pointnet,global,3.0,obdc,31,100,0.8199,0.5696
modelnet40,pointnet,global,3.0,obdc,32,100,0.8353,0.5258
modelnet40,pointnet,global,3.0,obdc,33,100,0.8422,0.5356
modelnet40,pointnet,global,3.0,obdc,34,100,0.8256,0.5697
modelnet40,pointnet,global,3.0,obdc,35,100,0.8252,0.5663
modelnet40,pointnet,global,3.0,obdc,36,100,0.8418,0.5368
modelnet40,pointnet,global,3.0,obdc,37,100,0.8150,0.6018
modelnet40,pointnet,global,3.0,obdc,38,100,0.8272,0.5436
modelnet40,pointnet,global,3.0,obdc,39,100,0.8357,0.5455
modelnet40,pointnet,global,3.0,obdc,40,100,0.8365,0.5666
modelnet40,pointnet,global,3.0,obdc,41,100,0.8402,0.5271
modelnet40,pointnet,global,3.0,obdc,42,100,0.8142,0.5786
modelnet40,pointnet,global,3.0,obdc,43,100,0.8535,0.4884
modelnet40,pointnet,global,3.0,obdc,44,100,0.8377,0.5507
modelnet40,pointnet,global,3.0,obdc,45,100,0.8539,0.4824
modelnet40,pointnet,global,3.0,obdc,46,100,0.8191,0.5699
modelnet40,pointnet,global,3.0,obdc,47,100,0.8106,0.5964
modelnet40,pointnet,global,3.0,obdc,48,100,0.7624,0.6783
modelnet40,pointnet,global,3.0,obdc,49,100,0.8369,0.5059
